iter	Quantile:alpha=0.9
513	0.07778878466
514	0.0777846628
515	0.07778077806
516	0.07777693249
517	0.07777404261
518	0.0777687906
519	0.07776716742
520	0.07776462674
521	0.07776302164
522	0.07775990559
523	0.07775559125
524	0.07774829601
525	0.07774303807
526	0.07774105756
527	0.07773771931
528	0.07773486529
529	0.07773230451
530	0.07773040453
531	0.07772937427
532	0.07772636164
533	0.07772505069
534	0.07772402342
535	0.07772242738
536	0.07772017131
537	0.0777172607
538	0.07771486309
539	0.07771217499
540	0.07770961577
541	0.07770477014
542	0.07770181401
543	0.07770099726
544	0.07769931577
545	0.07769847294
546	0.07769481802
547	0.07769082767
548	0.07768898874
549	0.07767894115
550	0.0776769423
551	0.07767223753
552	0.07766675736
553	0.07766492212
554	0.0776615287
555	0.07765984002
556	0.07765852106
557	0.07765682817
558	0.07765462671
559	0.07765337992
560	0.07765131179
561	0.07764873012
562	0.0776468426
563	0.07764322929
564	0.0776425248
565	0.07764190867
566	0.07764081891
567	0.07763647382
568	0.07763226573
569	0.07763103813
570	0.07763015622
571	0.07762921264
572	0.07762451899
573	0.07762379247
574	0.07761890202
575	0.07761597433
576	0.07761381418
577	0.07761245042
578	0.07761097738
579	0.07760632233
580	0.07760476701
581	0.07760357438
582	0.07759980532
583	0.07759825215
584	0.07759698338
585	0.07759467553
586	0.0775937072
587	0.07759073369
588	0.07758649434
589	0.07758367471
590	0.07757985018
591	0.07757760271
592	0.07757653486
593	0.077575588
594	0.07757374027
595	0.07757209922
596	0.07757125191
597	0.07756142976
598	0.07756012209
599	0.07755794539
600	0.07755471986
601	0.07755300624
602	0.07755019976
603	0.07754743492
604	0.07754600696
605	0.07754267106
606	0.07754206232
607	0.07753701002
608	0.07753528425
609	0.07753168934
610	0.07752947271
611	0.07752596735
612	0.07752264018
613	0.07751964619
614	0.07751796561
615	0.07751643538
616	0.07751459699
617	0.07751124314
618	0.07751054219
619	0.07750980133
620	0.07750760812
621	0.07750466202
622	0.0775034888
623	0.0775028045
624	0.07750212602
625	0.07749785942
626	0.07749325431
627	0.0774923572
628	0.07749010593
629	0.07748296911
630	0.07748081011
631	0.07747988846
632	0.07747832202
633	0.07747622565
634	0.07747404143
635	0.07747217768
636	0.07746977995
637	0.07746773782
638	0.07746263048
639	0.0774612699
640	0.0774590604
641	0.07745796461
642	0.07745512501
643	0.07745426628
644	0.0774532333
645	0.07745106905
646	0.0774490959
647	0.07744497187
648	0.0774420289
649	0.07744123196
650	0.0774375533
651	0.0774348309
652	0.07743302252
653	0.07742730125
654	0.07742233082
655	0.07741652574
656	0.07741414244
657	0.07741175938
658	0.07741042215
659	0.07740954951
660	0.07740797941
661	0.07740523333
662	0.07740329462
663	0.07740140808
664	0.0773956707
665	0.07739402151
666	0.07739131458
667	0.0773865136
668	0.07738218939
669	0.0773807384
670	0.07737647335
671	0.0773759808
672	0.07737186809
673	0.07736888421
674	0.07736566977
675	0.07736521566
676	0.07736483397
677	0.07736041774
678	0.07735434325
679	0.07734938322
680	0.07734898379
681	0.07734445406
682	0.07733983937
683	0.07733593674
684	0.07733437493
685	0.07733149548
686	0.07733029321
687	0.07732826318
688	0.07732469195
689	0.07732305987
690	0.07732185592
691	0.07731823027
692	0.07731497225
693	0.07731244833
694	0.0773108972
695	0.0773064939
696	0.07730471114
697	0.07730279962
698	0.07730103021
699	0.07729935325
700	0.07729748801
701	0.07729464934
702	0.07729166974
703	0.07728553447
704	0.0772795765
705	0.07727836146
706	0.07727186205
707	0.0772709759
708	0.07727017011
709	0.07726826126
710	0.07726696686
711	0.07726633108
712	0.07726469395
713	0.07726340677
714	0.07726228715
715	0.07725764106
716	0.0772567855
717	0.07725275235
718	0.07724648549
719	0.07724410193
720	0.07724284188
721	0.07723816078
722	0.07723289036
723	0.07722673404
724	0.07722413985
725	0.07721938706
726	0.07721646106
727	0.07721297201
728	0.0772105824
729	0.07720786359
730	0.07720555163
731	0.07719859724
732	0.07719604812
733	0.07719416773
734	0.07719205193
735	0.07718980404
736	0.07718801092
737	0.07718720285
738	0.07718640747
739	0.07718517453
740	0.07718334914
741	0.07718198573
742	0.07718054138
743	0.07717651603
744	0.07717395952
745	0.07717263884
746	0.07716848835
747	0.07716743893
748	0.07716581197
749	0.07716022253
750	0.07715783247
751	0.07715288341
752	0.07715110558
753	0.07715043658
754	0.07714932717
755	0.07714798085
756	0.07714126399
757	0.07714027395
758	0.0771386448
759	0.0771351624
760	0.07712811846
761	0.07712408751
762	0.07712118849
763	0.0771160679
764	0.07710735445
765	0.07710564509
766	0.07710324657
767	0.07709965657
768	0.07709860087
769	0.07709715213
770	0.07708576727
771	0.07708480938
772	0.07708350102
773	0.07708091136
774	0.07707943414
775	0.07707673464
776	0.07707503848
777	0.07707392556
778	0.0770642606
779	0.07706213929
780	0.07706109757
781	0.07705996826
782	0.07705874779
783	0.0770564906
784	0.07705273353
785	0.07705050147
786	0.07704886682
787	0.07704699968
788	0.07704546576
789	0.07704438803
790	0.07704360844
791	0.0770425179
792	0.07704144816
793	0.0770378007
794	0.07703689422
795	0.07703569685
796	0.07703479403
797	0.07703340657
798	0.07703134427
799	0.07703045839
